Team,Wins,Yards,XY,X^2,Y^2
Kansas City Chiefs,14,"4,637",64918,196,21501769
Buffalo Bills,12,"4,243",50916,144,18003049
Tampa Bay Buccaneers,10,"4,235",42350,100,17935225
Houston Texans,4,"4,177",16708,16,17447329
Atlanta Falcons,4,"4,105",16420,16,16851025
Los Angeles Chargers,6,"4,048",24288,36,16386304
Dallas Cowboys,6,"3,962",23772,36,15697444
Indianapolis Colts,10,"3,889",38890,100,15124321
Green Bay Packers,12,"3,869",46428,144,14969161
Las Vegas Raiders,7,"3,858",27006,49,14884164
Detroit Lions,5,"3,816",19080,25,14561856
Los Angeles Rams,9,"3,791",34119,81,14371681
San Francisco 49ers,6,"3,791",22746,36,14371681
Seattle Seahawks,11,"3,782",41602,121,14303524
Arizona Cardinals,8,"3,750",30000,64,14062500
Pittsburgh Steelers,12,"3,695",44340,144,13653025
Carolina Panthers,5,"3,642",18210,25,13264164
Minnesota Vikings,6,"3,626",21756,36,13147876
New Orleans Saints,11,"3,567",39237,121,12723489
Jacksonville Jaguars,1,"3,469",3469,1,12033961
Tennessee Titans,10,"3,449",34490,100,11895601
Chicago Bears,8,"3,407",27256,64,11607649
Cincinnati Bengals,4,"3,400",13600,16,11560000
Cleveland Browns,10,"3,373",33730,100,11377129
Miami Dolphins,10,"3,352",33520,100,11235904
Washington,6,"3,320",19920,36,11022400
Philadelphia Eagles,4,"3,229",12916,16,10426441
Denver Broncos,5,"3,127",15635,25,9778129
New York Giants,5,"2,815",14075,25,7924225
New England Patriots,6,"2,652",15912,36,7033104
Baltimore Ravens,10,"2,618",26180,100,6853924
New York Jets,2,"2,557",5114,4,6538249
Sum,239,115251,878603,2113,422546303
